Create_User_Endpoint,content-type,UserName,Password,First_Name,Last_Name,Contact_Number,Email_Id,Plot_Number,Street,State,Country,ZipCode,Exp_statusCode,
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19a,Jersey Street,NewJersey,USA,7828,400,Invalid Plot Number(without-)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,jers12 Street,NewJersey,USA,7828,400,Invalid Street (only numbers with  alpha numberic)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,jersey$$ Street,NewJersey,USA,7828,400,Invalid Street(only string  with spl char)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,,NewJersey,USA,7828,400,Invalid Street (Empty Field)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,Newjery123,USA,7828,400,Invalid State(only numbers with  alpha numberic)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,jersey@$$,USA,7828,400,Invalid State(only string  with spl char)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,,USA,7828,400,Invalid state(Empty)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA123,7828,400,Invalid country  (Num With Alpha numeric)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,UA$$,7828,400,Invalid country (Num with spl char)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,,7828,400,Invalid country (Empty)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,ZIP,400,Invalid Zipcode(only String)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,zip$$,400,Invalid Zipcode(string with spl char)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,,400,Invalid ZIP (Empty)
 /createusers,application/xml,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,415,Invalid Content-type
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769088,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,201,
